iter	Passed	Remaining
608	1428	917
609	1430	914
610	1432	912
611	1434	909
612	1436	907
613	1438	904
614	1440	901
615	1442	899
616	1444	896
617	1446	894
618	1448	891
619	1451	889
620	1453	886
621	1455	884
622	1456	881
623	1458	879
624	1460	876
625	1462	873
626	1464	871
627	1466	868
628	1468	866
629	1470	863
630	1472	861
631	1474	858
632	1476	856
633	1478	853
634	1481	851
635	1483	849
636	1485	846
637	1487	843
638	1489	841
639	1491	838
640	1493	836
641	1496	834
642	1498	832
643	1500	829
644	1503	827
645	1504	824
646	1506	822
647	1508	819
648	1511	817
649	1513	814
650	1515	812
651	1517	809
652	1519	807
653	1521	804
654	1522	802
655	1525	800
656	1527	797
657	1529	794
658	1531	792
659	1532	789
660	1534	787
661	1536	784
662	1538	781
663	1541	779
664	1543	777
665	1544	774
666	1546	772
667	1548	769
668	1550	767
669	1552	764
670	1555	762
671	1557	760
672	1559	757
673	1560	754
674	1562	752
675	1564	749
676	1566	747
677	1569	745
678	1571	742
679	1573	740
680	1574	737
681	1576	735
682	1578	732
683	1580	730
684	1582	727
685	1585	725
686	1587	723
687	1589	720
688	1591	718
689	1593	716
690	1595	713
691	1599	711
692	1601	709
693	1603	707
694	1605	704
695	1607	702
696	1609	699
697	1611	697
698	1615	695
699	1617	693
700	1620	691
701	1622	688
702	1624	686
703	1626	683
704	1629	681
705	1631	679
706	1633	677
707	1636	674
708	1638	672
709	1640	669
710	1642	667
711	1644	665
712	1646	662
713	1648	660
714	1650	657
715	1651	655
716	1654	652
717	1655	650
718	1658	648
719	1660	645
720	1662	643
721	1664	640
722	1666	638
723	1668	636
724	1670	633
725	1673	631
726	1675	629
727	1677	626
728	1679	624
729	1681	621
730	1682	619
731	1684	616
732	1686	614
733	1689	612
734	1690	609
735	1692	607
736	1694	604
737	1696	602
738	1698	599
739	1700	597
740	1703	595
741	1704	592
742	1707	590
743	1708	588
744	1710	585
745	1712	583
746	1714	580
747	1716	578
748	1718	575
749	1720	573
750	1722	571
751	1724	568
752	1725	566
753	1727	563
754	1729	561
755	1732	559
756	1734	556
757	1736	554
758	1738	551
759	1740	549
760	1741	547
761	1743	544
762	1745	542
763	1747	539
764	1749	537
765	1751	535
766	1753	532
767	1755	530
768	1757	527
769	1759	525
770	1762	523
771	1764	521
772	1766	518
773	1767	516
774	1769	513
775	1771	511
776	1773	508
777	1774	506
778	1777	504
779	1779	501
780	1781	499
781	1783	497
782	1785	494
783	1786	492
784	1788	489
785	1792	487
786	1794	485
787	1796	483
788	1798	480
789	1800	478
790	1802	476
791	1803	473
792	1807	471
793	1809	469
794	1811	467
795	1813	464
796	1815	462
797	1817	459
798	1819	457
799	1822	455
800	1824	453
801	1826	450
802	1828	448
803	1830	446
804	1831	443
805	1833	441
806	1836	439
807	1838	436
808	1840	434
809	1842	432
810	1844	429
811	1846	427
812	1848	425
813	1851	423
814	1853	420
815	1854	418
816	1856	415
817	1858	413
818	1860	411
819	1862	408
820	1864	406
821	1867	404
822	1869	401
823	1870	399
824	1872	397
825	1874	394
826	1876	392
827	1877	390
828	1881	388
829	1882	385
830	1884	383
831	1886	380
832	1888	378
833	1890	376
834	1892	373
835	1895	371
836	1897	369
837	1899	367
838	1901	364
839	1903	362
840	1905	360
841	1906	357
842	1908	355
843	1911	353
844	1912	350
845	1914	348
846	1916	346
847	1918	343
848	1920	341
849	1922	339
850	1925	337
851	1927	334
852	1928	332
853	1930	330
854	1932	327
855	1934	325
856	1936	323
857	1938	320
858	1940	318
859	1942	316
860	1944	313
861	1946	311
862	1948	309
863	1950	306
864	1952	304
865	1955	302
866	1957	300
867	1959	297
868	1960	295
869	1962	293
870	1964	290
871	1966	288
872	1968	286
873	1970	284
874	1972	281
875	1974	279
876	1976	277
877	1978	274
878	1980	272
879	1982	270
880	1985	268
881	1987	265
882	1989	263
883	1991	261
884	1993	258
885	1994	256
886	1996	254
887	1999	252
888	2002	249
889	2003	247
890	2005	245
891	2007	243
892	2009	240
893	2011	238
894	2014	236
895	2016	234
896	2017	231
897	2019	229
898	2021	227
899	2023	224
900	2025	222
901	2029	220
902	2032	218
903	2034	216
904	2036	213
905	2039	211
906	2041	209
907	2044	207
908	2046	204
909	2048	202
910	2050	200
911	2052	198
912	2054	195
913	2056	193
914	2059	191
915	2061	189
916	2063	186
917	2065	184
918	2067	182
919	2069	179
920	2071	177
921	2074	175
922	2076	173
923	2078	170
924	2080	168
925	2082	166
926	2084	164
927	2086	161
928	2089	159
929	2091	157
930	2093	155
931	2095	152
932	2098	150
933	2100	148
934	2102	146
935	2104	143
936	2106	141
937	2108	139
938	2109	137
939	2111	134
940	2113	132
941	2115	130
942	2118	128
943	2120	125
944	2122	123
945	2123	121
946	2125	118
947	2127	116
948	2129	114
949	2131	112
950	2133	109
951	2135	107
952	2137	105
953	2139	103
954	2141	100
955	2143	98
956	2145	96
957	2148	94
958	2149	91
959	2151	89
960	2153	87
961	2155	85
962	2157	82
963	2159	80
964	2162	78
965	2164	76
966	2165	73
967	2167	71
968	2169	69
969	2171	67
970	2173	64
971	2176	62
972	2178	60
973	2180	58
974	2181	55
975	2183	53
976	2185	51
977	2187	49
978	2188	46
979	2192	44
980	2194	42
981	2195	40
982	2197	38
983	2199	35
984	2201	33
985	2203	31
986	2204	29
987	2207	26
988	2210	24
989	2212	22
990	2213	20
991	2215	17
992	2217	15
993	2219	13
994	2222	11
995	2224	8
996	2225	6
997	2227	4
998	2229	2
999	2231	0
